frame,objeto detectado,confianza,id,x_center_norm,y_center_norm
239,Red Light,0.73,,0.472886,0.232172
239,Red Light,0.54,,0.325998,0.285253
240,Red Light,0.75,,0.494514,0.175627
240,Red Light,0.32,,0.168487,0.64811
240,Red Light,0.26,,0.193123,0.648398
240,Red Light,0.15,,0.33237,0.25197
240,Green Light,0.14,,0.618428,0.493243
241,Red Light,0.84,,0.519606,0.101907
241,Green Light,0.33,,0.655338,0.487974
242,Green Light,0.32,,0.736354,0.470115
243,Green Light,0.37,,0.739435,0.466697
244,Green Light,0.38,,0.739596,0.44825
245,Green Light,0.44,148,0.73511,0.447608
246,Green Light,0.33,148,0.72834,0.446281
247,Green Light,0.57,,0.384763,0.445926
247,Green Light,0.14,,0.392827,0.449142
248,Green Light,0.69,148,0.718635,0.440136
249,Green Light,0.79,,0.444907,0.426074
250,Green Light,0.7,148,0.71761,0.439431
251,Green Light,0.79,,0.473871,0.412067
252,Green Light,0.43,148,0.70846,0.427456
253,Green Light,0.78,,0.511066,0.391651
254,Green Light,0.9,,0.549578,0.364947
255,Green Light,0.21,,0.715263,0.415495
256,Green Light,0.91,,0.642049,0.27603
256,Red Light,0.17,,0.524058,0.509776
257,Green Light,0.49,,0.745799,0.391744
257,Green Light,0.28,,0.747049,0.395108
258,Green Light,0.3,,0.777287,0.369985
259,Green Light,0.3,,0.777291,0.36999
260,Green Light,0.35,,0.793068,0.357051
260,Green Light,0.11,,0.58301,0.533002
265,Red Light,0.15,,0.589049,0.526344
266,Speed Limit 50,0.2,,0.779844,0.524281
266,Green Light,0.16,,0.589696,0.527494
267,Speed Limit 50,0.21,,0.779779,0.52435
267,Green Light,0.17,,0.589686,0.527476
270,Speed Limit 50,0.23,,0.802121,0.523815
270,Green Light,0.17,,0.59462,0.527602
271,Speed Limit 50,0.32,,0.817076,0.521807
271,Green Light,0.16,,0.596916,0.524473
272,Speed Limit 50,0.41,,0.875483,0.512998
272,Green Light,0.39,,0.602617,0.522784
273,Green Light,0.46,162,0.603877,0.520845
274,Green Light,0.42,162,0.605323,0.520416
275,Red Light,0.79,,0.292404,0.387219
276,Green Light,0.42,162,0.606786,0.519401
277,Green Light,0.47,162,0.606509,0.520049
278,Red Light,0.88,,0.232737,0.335141
278,Green Light,0.23,,0.232793,0.334361
279,Speed Limit 80,0.17,,0.290505,0.514671
280,Speed Limit 80,0.21,,0.22845,0.500785
280,Green Light,0.13,,0.618001,0.514707
281,Speed Limit 80,0.2,,0.228448,0.500761
281,Green Light,0.13,,0.618009,0.514673
282,Green Light,0.4,,0.620137,0.511462
283,Green Light,0.57,169,0.622059,0.511413
284,Green Light,0.69,169,0.624538,0.507788
285,Green Light,0.8,169,0.626971,0.505655
286,Green Light,0.68,169,0.629981,0.504488
287,Red Light,0.2,169,0.634757,0.502564
288,Green Light,0.58,169,0.640849,0.49968
289,Green Light,0.51,,0.658865,0.492396
289,Speed Limit 50,0.16,,0.242927,0.532439
290,Green Light,0.51,171,0.658866,0.492396
291,Green Light,0.5,171,0.666359,0.489978
292,Green Light,0.54,,0.721587,0.468331
292,Green Light,0.23,,0.642611,0.451724
292,Speed Limit 50,0.2,,0.198539,0.526447
292,Red Light,0.13,,0.418386,0.527518
293,Green Light,0.63,,0.740642,0.462154
294,Green Light,0.52,,0.784483,0.445362
294,Speed Limit 50,0.11,,0.169639,0.519689
295,Green Light,0.51,174,0.784483,0.445361
296,Green Light,0.43,,0.810366,0.435386
296,Green Light,0.17,,0.681271,0.43379
297,Green Light,0.46,,0.838243,0.423046
297,Speed Limit 50,0.23,,0.145371,0.517475
298,Green Light,0.52,,0.871704,0.407212
298,Red Light,0.32,,0.429381,0.522524
298,Speed Limit 50,0.15,,0.13353,0.515835
299,Green Light,0.45,,0.435949,0.521544
299,Speed Limit 50,0.21,,0.109852,0.510361
300,Red Light,0.19,,0.439667,0.521825
301,Red Light,0.21,,0.443918,0.519912
301,Speed Limit 50,0.2,,0.084391,0.503086
